@relation amazon_train

@attribute text string
@attribute class-att {0,1}

@data'!I definitly recommend!!'	,1
'I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.'	,1
'I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.'	,0
'I usually don\'t like headbands but this one is very lightweight & doesn\'t mess up my hair.'	,1
'I want my money back.'	,0
'I was able to do voice dialing in the car with no problem.'	,1
'I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.'	,1
'I Was Hoping for More.'	,0
'I was looking for this headset for a long time and now that I\'ve got it I couldn\'t be happier.'	,1
'I was not happy with this item.'	,0
'I was not impressed by this product.'	,0
'I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.'	,0
'I was very excited to get this headset because I thought it was really cute.'	,1
'I wasted my little money with this earpiece.'	,0
'I wear glasses and it fits fine with them.'	,1
'I wear it everyday and it holds up very well.'	,1
'I went on Motorola\'s website and followed all directions, but could not get it to pair again.'	,0
'I wish I could return the unit and get back my money.'	,0
'i would advise to not purchase this item it never worked very well.'	,0
'I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!'	,1
'I would have given no star if I was able.'	,0
'I would highly recommend this.'	,1
'I would not recommend this item to anyone.'	,0
'I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.'	,1
'I would recommend this.'	,1
'I wouldn\'t recommend buying this product.'	,0
'Iam very pleased with my purchase.'	,1
'I\'d like to return it.'	,0
'If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.'	,0
'If you are looking for a good quality Motorola Headset keep looking, this isn\'t it.'	,0
'If you are Razr owner...you must have this!'	,1
'If you don\'t find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.'	,0
'If you hate earbugs, avoid this phone by all means.'	,0
'If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.'	,0
'If you like a loud buzzing to override all your conversations, then this phone is for you!'	,0
'If you plan to use this in a car forget about it.'	,0
'I\'ll be drivng along, and my headset starts ringing for no reason.'	,0
'I\'ll be looking for a new earpiece.'	,0
'I\'m a bit disappointed.'	,0
'i\'m glad i found this product on amazon it is hard to find, it wasn\'t high priced.'	,1
'I\'m happy about this purchase- good quality and low price.'	,1
'I\'m pleased.'	,1
'I\'m still infatuated with this phone.'	,1
'im surprised this is a good quality car charger and there\'s not much reviews about it.'	,1
'I\'m using it with an iriver SPINN (with case) and it fits fine.'	,1
'I\'m very disappointed with my decision.'	,0
'In my house I was getting dropped coverage upstairs and no coverage in my basement.'	,0
'Incredible!.'	,1
'Integrated seamlessly with the Motorola RAZR phone.'	,1
'Internet is excrutiatingly slow.'	,0
'It clicks into place in a way that makes you wonder how long that mechanism would last.'	,0
'It defeats the purpose of a bluetooth headset.'	,0
'It definitely was not as good as my S11.'	,1
'it did not work in my cell phone plug i am very up set with the charger!.'	,0
'It does everything the description said it would.'	,1
'It doesn\'t make you look cool.'	,0
'It doesn\'t work in Europe or Asia.'	,0
'It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.'	,1
'It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.'	,0
'It felt too light and "tinny.".'	,0
'It finds my cell phone right away when I enter the car.'	,1
'It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.'	,1
'It fits my ear well and is comfortable on.'	,1
'It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.'	,1
'It has all the features I want'	,1
'It has been a winner for us.'	,1
'It has kept up very well.'	,1
'It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.'	,1
'It is cheap, and it feel and look just as cheap.'	,0
'It is light, easy to use, and has very clear reception and transmission.'	,1
'It is practically useless and did not add any kind of boost to my reception after I bought it.'	,0
'It is so small and you don\'t even realize that it is there after a while of getting used to it.'	,1
'It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.'	,1
'It is unusable in a moving car at freeway speed.'	,0
'It is very comfortable on the ear.'	,1
'It is very comfortable to wear as well, which is probably the most important aspect about using a case.'	,1
'It is well made, easy to access the phone and has a handy, detachable belt clip.'	,1
'It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.'	,0
'It makes very strange ticking noises before it ends the call.'	,0
'It only recognizes the Phone as its storage device.'	,0
'It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it\'s not.'	,1
'It was an inexpensive piece, but I would still have expected better quality.'	,0
'It worked very well.'	,1
'It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.'	,1
'It works great with a car charger, especially if you cannot plug in two adapters at the same time.'	,1
'Items stated as included from the description ARE NOT INCLUDED.'	,0
'It\'s a great item.'	,1
'its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.'	,1
'It\'s A PIECE OF CRAP!'	,0
'Its a total package.'	,1
'It\'s AGGRAVATING!'	,0
'its extremely slow and takes forever to do anything with it.'	,0
'It\'s fits like a glove and is strong, secure, and durable.'	,1
'It\'s kind of embarrassing to use because of how it looks and mostly it\'s embarrassing how child-like the company is.'	,0
'Its not user friendly.'	,0
'IT\'S REALLY EASY.'	,1
'Its reception is very very poor.'	,0
'It\'s so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.'	,0
'It\'s uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).'	,0
'It\'s very attractive and appears to be of good quality.'	,1
'Its well-designed and very sharp -- the blue is a very nice color.'	,1
'I\'ve also had problems with the phone reading the memory card in which I always turn it on and then off again.'	,0
'I\'ve bought $5 wired headphones that sound better than these.'	,0
'I\'ve dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).'	,1
'I\'ve had no trouble accessing the Internet, downloading ringtones or performing any of the functions.'	,1
'I\'ve had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.'	,0
'I\'ve had this for nearly 2 years and it has worked great for me.'	,1
'I\'ve missed numerous calls because of this reason.'	,0
'I\'ve only had my bluetooth for a few weeks, but I really like it.'	,1
'I\'ve owned this phone for 7 months now and can say that it\'s the best mobile phone I\'ve had.'	,1
'I\'ve tried several different earpieces for my cell phone and this Jabra one is the first one I\'ve found that fits my ear comfortably.'	,1
'Jawbone Era is awesome too!'	,1
'Keep up the good work Amazon!!'	,1
'Lately they have been extremely nice and helpful on the phone.'	,1
'Light weight, I hardly notice it is there.'	,1
'Linked to my phone without effort.'	,1
'Linksys should have some way to exchange a bad phone for a refurb unit or something!'	,0
'Looks good in the picture, but this case was a huge disappointment!!'	,0
'Looks great and is strong."'	,1
'Love this headset!'	,1
'Love This Phone.'	,1
'Love this product.'	,1
'Low Quality.'	,0
'Made very sturdy.'	,1
'Magical Help.'	,1
'Mic Doesn\'t work.'	,0
'Mobile Phone Tools are a must have.'	,1
'Much less than the jawbone I was going to replace it with.'	,1
'Muddy, low quality sound, and the casing around the wire\'s insert was poorly super glued and slid off.'	,0
'My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.'	,0
'My colleague & I now get great reception.A little expensive, but performance is great.'	,1
'My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!'	,0
'My headset works just peachy-keen.'	,1
'My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)'	,0
'My Sanyo has survived dozens of drops on blacktop without ill effect.'	,1
'Needless to say, I wasted my money.'	,0
'New Battery works great in phone.'	,1
'Nice design and quality.'	,1
'Nice docking station for home or work.'	,1
'Nice headphones for the price and they work great!'	,1
'Nice headset priced right.'	,1
'Nice quality build, unlike some cheap s*** out there.'	,1
'Nice solid keyboard.'	,1
'Nice Sound.'	,1
'No additional ear gels provided, and no instructions whatsoever.'	,0
'No buyers remorse on this one!.'	,0
'No ear loop needed, it\'s tiny and the sound is great.'	,1
'No real improvement.'	,0
'No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn\'t be more happier with my new one for the Droid.'	,1
'None of it works, just don\'t buy it.'	,0
'none of the new ones have ever quite worked properly.'	,0
'Not a good bargain.'	,0
'Not a good item.. It worked for a while then started having problems in my auto reverse tape player.'	,0
'Not good when wearing a hat or sunglasses.'	,0
'Not impressed.'	,0
'Not loud enough and doesn\'t turn on like it should.'	,0
'Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.'	,1
'Not only will it drain your player, but may also potentially fry it.'	,0
'Now I know that I made a wise decision.'	,1
'O my gosh the best phone I have ever had.'	,1
'Obviously there is a problem with the adhesive.'	,0
'Obviously they have a terrible customer service, so you get what you pay for.'	,0
'Oh and I forgot to also mention the weird color effect it has on your phone.'	,0
'One of my favorite purchases ever.'	,1
'One thing I hate is the mode set button at the side.'	,0
'Only had this a month but it\'s worked flawlessly so far.'	,1
'Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.'	,1
'Overall, I would recommend this phone over the new Walkman.'	,1
'People couldnt hear me talk and I had to pull out the earphone and talk on the phone.'	,0
'Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.'	,0
'Perhaps my phone is defective, but people cannot hear me when I use this.'	,0
'Phone is sturdy as all nokia bar phones are.'	,1
'Phone now holds charge like it did when it was new.'	,1
'Piece of Junk.'	,0
'Piece of trash.'	,0
'Plantronics Bluetooth Excelent Buy.'	,1
'Please dont waste your money.'	,0
'Plug was the wrong size.'	,0
'Plus, I seriously do not believe it is worth its steep price point.'	,0
'Poor Construction.'	,0
'Poor product.'	,0
'poor quality and service.'	,0
'Poor sound quality.'	,0
'Poor Talk Time Performance.'	,0
'poor voice clarity.'	,0
'Poorly contstruct hinge.'	,0
'Portable and it works.'	,1
'Pretty piece of junk.'	,0
'Price is good too.'	,1
'Product was excellent and works better than the verizon one and Boy was it cheaper!'	,1
'Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.'	,1
'Protects the phone on all sides.'	,1
'Razr Battery - Good buy.'	,1
'Really pleased with this product so far.'	,1
'REALLY UGLY.'	,0
'Reception is terrible and full of static.'	,0
'Restored my phone to like new performance.'	,1
'Returned 8 hours later.'	,0
'Reversible plug works great.'	,1
'Rip off---- Over charge shipping.'	,0
'Same problem as others have mentioned.'	,0
'Save your money.... I\'ve had this item for 11 months now.'	,0
'Sending it back.'	,0
'Setup went very smoothly.'	,1
'Simple, lightweight and great fit.'	,1
'Small, sleek, impressive looking, practical setup with ample storage in place.'	,1
'So anyone near you will hear part of your conversation.'	,0
'So Far So Good!.'	,1
'So I basically threw my money out the window for nothing.'	,0
'So just beware.'	,0
'So there is no way for me to plug it in here in the US unless I go by a converter.'	,0
'Someone shouldve invented this sooner.'	,1
'Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.'	,1
'Sounds good reasonably priced and effective, Its that simple !'	,1
'Soyo technology sucks.'	,0
'Sprint - terrible customer service.'	,0
'Sprint charges for this service.'	,0
'Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.'	,0
'Still Waiting...... I\'m sure this item would work well.. if I ever recieve it!'	,0
'sucked, most of the stuff does not work with my phone.'	,0
'Superb Phone on a Great Network.'	,1
'Talk about USELESS customer service.'	,0
'Thank you for such great service.'	,1
'Thank you for wasting my money.'	,0
'Thanks again to Amazon for having the things I need for a good price!'	,1
'That company is a joke.'	,0
'THAT one didn\'t work either.'	,0
'That\'s a huge design flaw (unless I\'m not using it correctly, which I don\'t think is the case).'	,0
'The "1.2" mega pixel camera, being a part of a phone, is reasonably good7.'	,1
'The accompanied software is almost brilliant.'	,1
'The battery is completely useless to me.'	,0
'The battery is unreliable as well as the service use antena.'	,0
'The battery is working well as a replacement for the original that came with the phone over 2 years ago.'	,1
'The battery life is highly unacceptable.'	,0
'The battery runs down quickly.'	,0
'The battery works great!'	,1
'The best electronics of the available FM Transmitters.'	,1
'The best phone in market :).'	,1
'The biggest complaint I have is, the battery drains superfast.'	,0
'The bose noise cancelling is amazing, which is very important for a NYC commuter.'	,1
'The BT headset was such a disapoinment.'	,0
'The buttons for on and off are bad.'	,0
'The cable looks so thin and flimsy, it is scary.'	,0
'The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.'	,0
'The case is a flimsy piece of plastic and has no front or side protection whatsoever.'	,0
'The case is great and works fine with the 680.'	,1
'The charger arrived within the promised timeframe, but it did not work.'	,0
'the charger worked for about a week and then completely stopped charging my phone.'	,0
'The color is even prettier than I thought it would be, and the graphics are incredibly sharp.'	,1
'The commercials are the most misleading.'	,0
'The company shipped my product very promptly and it works well.'	,1
'The construction of the headsets is poor.'	,0
'The delivery was on time.'	,1
'The design is very odd, as the ear "clip" is not very comfortable at all.'	,0
'The design might be ergonomic in theory but I could not stand having these in my ear.'	,0
'The ear buds only play music in one ear.'	,0
'The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.'	,1
'The earpiece on this is too large or too heavy...it keeps falling out of my ear.'	,0
'The file browser offers all the options that one needs.Handsfree is great.'	,1
'The first thing that happened was that the tracking was off.'	,0
'The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.'	,1
'The headsets are easy to use and everyone loves them.'	,1
'The holster that arrived did not match the photo in the ad.'	,0
'The iGo chargers and tips are really great.'	,1
'The instruction manual is lacking.'	,0
'The instructions didn\'t explain that a microphone jack could be used.'	,0
'The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.'	,1
'The keyboard is really worthwhile in usefulness and is sturdy enough I don\'t expect any problems.'	,1
'The look of it is very sharp and the screen is nice and clear, with great graphics.'	,1
'The loudspeaker option is great, the bumpers with the lights is very ... appealing.'	,0
'The majority of the Logitech earbud headsets failed.'	,0
'The mic is great.'	,1
'The microphone also works well, but (according to people I have called) it applifies everything.'	,1
'The Ngage is still lacking in earbuds.'	,0
'The noise shield is incrediable.'	,1
'The nokia CA-42 USB cable did not work with my phone.'	,0
'The one big drawback of the MP3 player is that the buttons on the phone\'s front cover that let you pause and skip songs lock out after a few seconds.'	,0
'The only thing that I think could improve is the sound leaks out from the headset.'	,0
'The phone gets EXTREMELY HOT!'	,0
'The phone is sturdy and waterproof.'	,1
'The phone loads super!'	,1
'The phone takes FOREVER to charge like 2 to 5 hours literally.'	,0
'the phone was unusable and was not new.'	,0
'The picture resolution is far below what other comparably-priced phones are offering today.'	,0
'The plastic breaks really easy on this clip.'	,0
'The pleather case doesn\'t fit.'	,0
'The plug did not work very well.'	,0
'The price was very good and with the free shipping and all it was a good purchase.'	,1
'The range is very decent, I\'ve been able to roam around my house with the phone in the living room with no reception/sound quality issues.'	,1
'The real killer is the volume, and of course it breaking.'	,0
'The reception is excellent!'	,1
'The replacement died in a few weeks.'	,0
'The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.'	,1
'The seller is very understanding and patient, I would definitely buy from them again.'	,1
'The sound is clear and the people I talk to on it are amazed at the quality too.'	,1
