===== Loaded dataset: imdbtrain.arff =====
===== Loaded dataset: imdbtest.arff =====
There are 300 test instances
    0: true=1         , predicted=1         , distribution=[         0 :  0.150][         1 :  0.850]
   46: true=0         , predicted=0         , distribution=[         0 :  0.750][         1 :  0.250]

   47: true=1         , predicted=1         , distribution=[         0 :  0.350][         1 :  0.650]

   48: true=0         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

   49: true=1         , predicted=0         , distribution=[         0 :  0.570][         1 :  0.430]

   50: true=0         , predicted=0         , distribution=[         0 :  0.650][         1 :  0.350]

   51: true=1         , predicted=1         , distribution=[         0 :  0.340][         1 :  0.660]

   52: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

   53: true=0         , predicted=1         , distribution=[         0 :  0.330][         1 :  0.670]

   54: true=0         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

   55: true=1         , predicted=1         , distribution=[         0 :  0.470][         1 :  0.530]

   56: true=0         , predicted=0         , distribution=[         0 :  0.570][         1 :  0.430]

   57: true=0         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

   58: true=0         , predicted=0         , distribution=[         0 :  0.810][         1 :  0.190]

   59: true=0         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

   60: true=1         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

   61: true=0         , predicted=0         , distribution=[         0 :  0.880][         1 :  0.120]

   62: true=1         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

   63: true=1         , predicted=0         , distribution=[         0 :  0.530][         1 :  0.470]

   64: true=1         , predicted=1         , distribution=[         0 :  0.350][         1 :  0.650]

   65: true=1         , predicted=0         , distribution=[         0 :  0.720][         1 :  0.280]

   66: true=1         , predicted=1         , distribution=[         0 :  0.180][         1 :  0.820]

   67: true=1         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

   68: true=1         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

   69: true=0         , predicted=1         , distribution=[         0 :  0.220][         1 :  0.780]

   70: true=1         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

   71: true=0         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

   72: true=0         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

   73: true=0         , predicted=0         , distribution=[         0 :  0.670][         1 :  0.330]

   74: true=1         , predicted=1         , distribution=[         0 :  0.410][         1 :  0.590]

   75: true=1         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

   76: true=0         , predicted=0         , distribution=[         0 :  0.730][         1 :  0.270]

   77: true=0         , predicted=0         , distribution=[         0 :  0.630][         1 :  0.370]

   78: true=1         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

   79: true=0         , predicted=0         , distribution=[         0 :  0.830][         1 :  0.170]

   80: true=0         , predicted=0         , distribution=[         0 :  0.610][         1 :  0.390]

   81: true=0         , predicted=1         , distribution=[         0 :  0.470][         1 :  0.530]

   82: true=1         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

   83: true=1         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

   84: true=0         , predicted=0         , distribution=[         0 :  0.630][         1 :  0.370]

   85: true=0         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

   86: true=1         , predicted=1         , distribution=[         0 :  0.170][         1 :  0.830]

   87: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

   88: true=1         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

   89: true=0         , predicted=0         , distribution=[         0 :  0.530][         1 :  0.470]

   90: true=0         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

   91: true=1         , predicted=1         , distribution=[         0 :  0.320][         1 :  0.680]

   92: true=0         , predicted=0         , distribution=[         0 :  0.510][         1 :  0.490]

   93: true=1         , predicted=1         , distribution=[         0 :  0.340][         1 :  0.660]

   94: true=1         , predicted=0         , distribution=[         0 :  0.570][         1 :  0.430]

   95: true=1         , predicted=1         , distribution=[         0 :  0.350][         1 :  0.650]

   96: true=0         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

   97: true=1         , predicted=0         , distribution=[         0 :  0.610][         1 :  0.390]

   98: true=1         , predicted=1         , distribution=[         0 :  0.320][         1 :  0.680]

   99: true=1         , predicted=1         , distribution=[         0 :  0.280][         1 :  0.720]

  100: true=1         , predicted=0         , distribution=[         0 :  0.730][         1 :  0.270]

  101: true=0         , predicted=0         , distribution=[         0 :  0.760][         1 :  0.240]

  102: true=1         , predicted=0         , distribution=[         0 :  0.630][         1 :  0.370]

  103: true=1         , predicted=0         , distribution=[         0 :  0.510][         1 :  0.490]

  104: true=1         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

  105: true=0         , predicted=1         , distribution=[         0 :  0.470][         1 :  0.530]

  106: true=1         , predicted=0         , distribution=[         0 :  0.580][         1 :  0.420]

  107: true=0         , predicted=0         , distribution=[         0 :  0.670][         1 :  0.330]

  108: true=1         , predicted=1         , distribution=[         0 :  0.370][         1 :  0.630]

  109: true=0         , predicted=0         , distribution=[         0 :  0.530][         1 :  0.470]

  110: true=0         , predicted=1         , distribution=[         0 :  0.420][         1 :  0.580]

  111: true=0         , predicted=0         , distribution=[         0 :  0.710][         1 :  0.290]

  112: true=0         , predicted=1         , distribution=[         0 :  0.390][         1 :  0.610]

  113: true=0         , predicted=1         , distribution=[         0 :  0.400][         1 :  0.600]

  114: true=0         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

  115: true=0         , predicted=1         , distribution=[         0 :  0.400][         1 :  0.600]

  116: true=1         , predicted=0         , distribution=[         0 :  0.510][         1 :  0.490]

  117: true=0         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

  118: true=1         , predicted=1         , distribution=[         0 :  0.200][         1 :  0.800]

  119: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

  120: true=1         , predicted=1         , distribution=[         0 :  0.270][         1 :  0.730]

  121: true=0         , predicted=0         , distribution=[         0 :  0.550][         1 :  0.450]

  122: true=1         , predicted=1         , distribution=[         0 :  0.330][         1 :  0.670]

  123: true=1         , predicted=1         , distribution=[         0 :  0.470][         1 :  0.530]

  124: true=1         , predicted=1         , distribution=[         0 :  0.360][         1 :  0.640]

  125: true=1         , predicted=1         , distribution=[         0 :  0.370][         1 :  0.630]

  126: true=1         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

  127: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  128: true=1         , predicted=0         , distribution=[         0 :  0.680][         1 :  0.320]

  129: true=1         , predicted=1         , distribution=[         0 :  0.360][         1 :  0.640]

  130: true=0         , predicted=1         , distribution=[         0 :  0.420][         1 :  0.580]

  131: true=0         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

  132: true=1         , predicted=1         , distribution=[         0 :  0.260][         1 :  0.740]

  133: true=1         , predicted=1         , distribution=[         0 :  0.330][         1 :  0.670]

  134: true=1         , predicted=0         , distribution=[         0 :  0.550][         1 :  0.450]

  135: true=0         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

  136: true=1         , predicted=1         , distribution=[         0 :  0.330][         1 :  0.670]

  137: true=0         , predicted=1         , distribution=[         0 :  0.300][         1 :  0.700]

  138: true=0         , predicted=0         , distribution=[         0 :  0.520][         1 :  0.480]

  139: true=0         , predicted=0         , distribution=[         0 :  0.750][         1 :  0.250]

  140: true=0         , predicted=1         , distribution=[         0 :  0.470][         1 :  0.530]

  141: true=1         , predicted=1         , distribution=[         0 :  0.320][         1 :  0.680]

  142: true=0         , predicted=0         , distribution=[         0 :  0.580][         1 :  0.420]

  143: true=1         , predicted=1         , distribution=[         0 :  0.220][         1 :  0.780]

  144: true=1         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

  145: true=0         , predicted=0         , distribution=[         0 :  0.610][         1 :  0.390]

  146: true=0         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

  147: true=0         , predicted=0         , distribution=[         0 :  0.610][         1 :  0.390]

  148: true=1         , predicted=1         , distribution=[         0 :  0.260][         1 :  0.740]

  149: true=1         , predicted=1         , distribution=[         0 :  0.180][         1 :  0.820]

  150: true=1         , predicted=1         , distribution=[         0 :  0.290][         1 :  0.710]

  151: true=0         , predicted=1         , distribution=[         0 :  0.410][         1 :  0.590]

  152: true=1         , predicted=1         , distribution=[         0 :  0.330][         1 :  0.670]

  153: true=0         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

  154: true=1         , predicted=1         , distribution=[         0 :  0.300][         1 :  0.700]

  155: true=1         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

  156: true=0         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

  157: true=0         , predicted=0         , distribution=[         0 :  0.600][         1 :  0.400]

  158: true=1         , predicted=1         , distribution=[         0 :  0.280][         1 :  0.720]

  159: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

  160: true=0         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

  161: true=0         , predicted=0         , distribution=[         0 :  0.510][         1 :  0.490]

  162: true=0         , predicted=0         , distribution=[         0 :  0.600][         1 :  0.400]

  163: true=1         , predicted=0         , distribution=[         0 :  0.710][         1 :  0.290]

  164: true=0         , predicted=0         , distribution=[         0 :  0.580][         1 :  0.420]

  165: true=0         , predicted=1         , distribution=[         0 :  0.280][         1 :  0.720]

  166: true=0         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

  167: true=1         , predicted=0         , distribution=[         0 :  0.700][         1 :  0.300]

  168: true=0         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

  169: true=0         , predicted=0         , distribution=[         0 :  0.550][         1 :  0.450]

  170: true=0         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

  171: true=0         , predicted=0         , distribution=[         0 :  0.710][         1 :  0.290]

  172: true=1         , predicted=1         , distribution=[         0 :  0.140][         1 :  0.860]

  173: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  174: true=1         , predicted=1         , distribution=[         0 :  0.370][         1 :  0.630]

  175: true=1         , predicted=1         , distribution=[         0 :  0.320][         1 :  0.680]

  176: true=1         , predicted=0         , distribution=[         0 :  0.700][         1 :  0.300]

  177: true=1         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

  178: true=0         , predicted=0         , distribution=[         0 :  0.800][         1 :  0.200]

  179: true=0         , predicted=0         , distribution=[         0 :  0.670][         1 :  0.330]

  180: true=1         , predicted=0         , distribution=[         0 :  0.520][         1 :  0.480]

  181: true=1         , predicted=1         , distribution=[         0 :  0.420][         1 :  0.580]

  182: true=0         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

  183: true=1         , predicted=0         , distribution=[         0 :  0.650][         1 :  0.350]

  184: true=1         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

  185: true=1         , predicted=1         , distribution=[         0 :  0.400][         1 :  0.600]

  186: true=1         , predicted=1         , distribution=[         0 :  0.340][         1 :  0.660]

  187: true=0         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

  188: true=0         , predicted=1         , distribution=[         0 :  0.390][         1 :  0.610]

  189: true=0         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

  190: true=0         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

  191: true=1         , predicted=1         , distribution=[         0 :  0.270][         1 :  0.730]

  192: true=1         , predicted=1         , distribution=[         0 :  0.400][         1 :  0.600]

  193: true=1         , predicted=1         , distribution=[         0 :  0.390][         1 :  0.610]

  194: true=0         , predicted=0         , distribution=[         0 :  0.720][         1 :  0.280]

  195: true=0         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

  196: true=0         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

  197: true=0         , predicted=0         , distribution=[         0 :  0.620][         1 :  0.380]

  198: true=0         , predicted=0         , distribution=[         0 :  0.660][         1 :  0.340]

  199: true=0         , predicted=0         , distribution=[         0 :  0.660][         1 :  0.340]

  200: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  201: true=1         , predicted=1         , distribution=[         0 :  0.400][         1 :  0.600]

  202: true=0         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

  203: true=0         , predicted=0         , distribution=[         0 :  0.510][         1 :  0.490]

  204: true=1         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

  205: true=1         , predicted=0         , distribution=[         0 :  0.530][         1 :  0.470]

  206: true=1         , predicted=0         , distribution=[         0 :  0.520][         1 :  0.480]

  207: true=1         , predicted=0         , distribution=[         0 :  0.550][         1 :  0.450]

  208: true=0         , predicted=0         , distribution=[         0 :  0.670][         1 :  0.330]

  209: true=1         , predicted=1         , distribution=[         0 :  0.350][         1 :  0.650]

  210: true=0         , predicted=0         , distribution=[         0 :  0.690][         1 :  0.310]

  211: true=1         , predicted=1         , distribution=[         0 :  0.420][         1 :  0.580]

  212: true=0         , predicted=1         , distribution=[         0 :  0.320][         1 :  0.680]

  213: true=1         , predicted=1         , distribution=[         0 :  0.290][         1 :  0.710]

  214: true=0         , predicted=1         , distribution=[         0 :  0.360][         1 :  0.640]

  215: true=1         , predicted=0         , distribution=[         0 :  0.570][         1 :  0.430]

  216: true=0         , predicted=0         , distribution=[         0 :  0.660][         1 :  0.340]

  217: true=0         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

  218: true=1         , predicted=1         , distribution=[         0 :  0.340][         1 :  0.660]

  219: true=1         , predicted=1         , distribution=[         0 :  0.360][         1 :  0.640]

  220: true=0         , predicted=0         , distribution=[         0 :  0.710][         1 :  0.290]

  221: true=0         , predicted=0         , distribution=[         0 :  0.630][         1 :  0.370]

  222: true=0         , predicted=0         , distribution=[         0 :  0.620][         1 :  0.380]

  223: true=1         , predicted=1         , distribution=[         0 :  0.400][         1 :  0.600]

  224: true=1         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

  225: true=0         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  226: true=1         , predicted=0         , distribution=[         0 :  0.520][         1 :  0.480]

  227: true=0         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

  228: true=0         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

  229: true=1         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

  230: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

  231: true=0         , predicted=0         , distribution=[         0 :  0.730][         1 :  0.270]

  232: true=0         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

  233: true=0         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

  234: true=1         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

  235: true=0         , predicted=1         , distribution=[         0 :  0.370][         1 :  0.630]

  236: true=1         , predicted=1         , distribution=[         0 :  0.450][         1 :  0.550]

  237: true=0         , predicted=0         , distribution=[         0 :  0.760][         1 :  0.240]

  238: true=1         , predicted=1         , distribution=[         0 :  0.290][         1 :  0.710]

  239: true=0         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

  240: true=0         , predicted=1         , distribution=[         0 :  0.490][         1 :  0.510]

  241: true=0         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

  242: true=1         , predicted=1         , distribution=[         0 :  0.360][         1 :  0.640]

  243: true=0         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

  244: true=0         , predicted=0         , distribution=[         0 :  0.610][         1 :  0.390]

  245: true=0         , predicted=0         , distribution=[         0 :  0.740][         1 :  0.260]

  246: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  247: true=1         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

  248: true=1         , predicted=1         , distribution=[         0 :  0.330][         1 :  0.670]

  249: true=0         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

  250: true=1         , predicted=1         , distribution=[         0 :  0.470][         1 :  0.530]

  251: true=1         , predicted=0         , distribution=[         0 :  0.510][         1 :  0.490]

  252: true=1         , predicted=0         , distribution=[         0 :  0.520][         1 :  0.480]

  253: true=0         , predicted=0         , distribution=[         0 :  0.670][         1 :  0.330]

  254: true=0         , predicted=0         , distribution=[         0 :  0.790][         1 :  0.210]

  255: true=0         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

  256: true=0         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

  257: true=1         , predicted=1         , distribution=[         0 :  0.340][         1 :  0.660]

  258: true=0         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  259: true=1         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

  260: true=1         , predicted=1         , distribution=[         0 :  0.420][         1 :  0.580]

  261: true=1         , predicted=1         , distribution=[         0 :  0.460][         1 :  0.540]

  262: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  263: true=0         , predicted=1         , distribution=[         0 :  0.460][         1 :  0.540]

  264: true=1         , predicted=1         , distribution=[         0 :  0.350][         1 :  0.650]

  265: true=0         , predicted=0         , distribution=[         0 :  0.540][         1 :  0.460]

  266: true=0         , predicted=0         , distribution=[         0 :  0.670][         1 :  0.330]

  267: true=0         , predicted=1         , distribution=[         0 :  0.460][         1 :  0.540]

  268: true=1         , predicted=1         , distribution=[         0 :  0.290][         1 :  0.710]

  269: true=1         , predicted=1         , distribution=[         0 :  0.300][         1 :  0.700]

  270: true=1         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

  271: true=1         , predicted=0         , distribution=[         0 :  0.640][         1 :  0.360]

  272: true=1         , predicted=1         , distribution=[         0 :  0.460][         1 :  0.540]

  273: true=1         , predicted=0         , distribution=[         0 :  0.620][         1 :  0.380]

  274: true=0         , predicted=0         , distribution=[         0 :  0.800][         1 :  0.200]

  275: true=1         , predicted=1         , distribution=[         0 :  0.360][         1 :  0.640]

  276: true=0         , predicted=0         , distribution=[         0 :  0.560][         1 :  0.440]

  277: true=0         , predicted=1         , distribution=[         0 :  0.420][         1 :  0.580]

  278: true=0         , predicted=1         , distribution=[         0 :  0.370][         1 :  0.630]

  279: true=0         , predicted=1         , distribution=[         0 :  0.440][         1 :  0.560]

  280: true=0         , predicted=0         , distribution=[         0 :  0.550][         1 :  0.450]

  281: true=0         , predicted=0         , distribution=[         0 :  0.670][         1 :  0.330]

  282: true=1         , predicted=0         , distribution=[         0 :  0.570][         1 :  0.430]

  283: true=0         , predicted=0         , distribution=[         0 :  0.650][         1 :  0.350]

  284: true=0         , predicted=0         , distribution=[         0 :  0.570][         1 :  0.430]

  285: true=0         , predicted=0         , distribution=[         0 :  0.680][         1 :  0.320]

  286: true=0         , predicted=0         , distribution=[         0 :  0.740][         1 :  0.260]

  287: true=0         , predicted=0         , distribution=[         0 :  0.530][         1 :  0.470]

  288: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

  289: true=1         , predicted=1         , distribution=[         0 :  0.380][         1 :  0.620]

  290: true=1         , predicted=1         , distribution=[         0 :  0.370][         1 :  0.630]

  291: true=0         , predicted=0         , distribution=[         0 :  0.580][         1 :  0.420]

  292: true=0         , predicted=0         , distribution=[         0 :  0.600][         1 :  0.400]

  293: true=0         , predicted=0         , distribution=[         0 :  0.500][         1 :  0.500]

  294: true=0         , predicted=1         , distribution=[         0 :  0.480][         1 :  0.520]

  295: true=1         , predicted=1         , distribution=[         0 :  0.430][         1 :  0.570]

  296: true=1         , predicted=0         , distribution=[         0 :  0.590][         1 :  0.410]

  297: true=1         , predicted=1         , distribution=[         0 :  0.310][         1 :  0.690]

  298: true=1         , predicted=0         , distribution=[         0 :  0.550][         1 :  0.450]

  299: true=1         , predicted=1         , distribution=[         0 :  0.160][         1 :  0.840]


Results
======

Correctly Classified Instances         210               70      %
Incorrectly Classified Instances        90               30      %
Kappa statistic                          0.4   
Mean absolute error                      0.4292
Root mean squared error                  0.4482
Relative absolute error                 85.84   %
Root relative squared error             89.636  %
Total Number of Instances              300     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.667    0.267    0.714      0.667    0.690      0.401    0.782     0.760     0
                 0.733    0.333    0.688      0.733    0.710      0.401    0.782     0.794     1
Weighted Avg.    0.700    0.300    0.701      0.700    0.700      0.401    0.782     0.777     

===== Evaluating on filtered (training) dataset done =====
===== Training on filtered (training) dataset done =====
===== Saved model: test.model =====
